name,count,reach
rock,4069787,402949
electronic,2499390,262248
seen live,2194812,82562
alternative,2131102,267226
pop,2082966,233792
indie,2065531,260479
female vocalists,1634615,169166
metal,1305863,159028
alternative rock,1230552,170275
jazz,1196709,149996
classic rock,1149356,137119
ambient,1125948,150206
experimental,1112308,145431
folk,958929,151370
indie rock,929352,137457
punk,919876,145516
Hip-Hop,919447,131457
hard rock,914197,115319
black metal,906233,64573
instrumental,889038,126148
singer-songwriter,858039,110048
dance,820844,134419
80s,797770,100669
death metal,761610,72946
Progressive rock,755569,96781
heavy metal,752132,90888
hardcore,722165,99601
british,700419,93553
soul,695784,102138
chillout,652671,103616
electronica,639052,102547
rap,626956,110973
industrial,586150,85147
punk rock,582107,98443
Classical,580500,74936
Soundtrack,577428,85853
blues,556011,96450
thrash metal,526061,62957
90s,501003,57175
metalcore,500580,68541
psychedelic,487227,78669
bookmark,486023,177
acoustic,485973,111791
japanese,480232,50325
hip hop,465622,80562
post-rock,458937,66253
Progressive metal,454878,62911
House,452790,74950
german,447173,59874
techno,446949,72548
